Name,Labels
Ajab Si_clean.wav,1
All of Me (Official Video)_clean.wav,4
Anjaana Anjaani Ki Kahani_clean.wav,1
Ben E King - Stand By Me (Audio)_clean.wav,6
Billie Jean_clean.wav,3
Bohemian Rhapsody (live at Wembley Stadium  Saturday 12th July 1986)_clean.wav,2
Call Me Maybe_clean.wav,3
Come As You Are_clean.wav,1
Dont Let Me Down [blank]_clean.wav,4
Elvis Presley - Jailhouse Rock (Music Video)_clean.wav,2
Etta James - At Last - Lyrics_clean.wav,8
Frank Sinatra My Way With Lyrics_clean.wav,8
Gold on the Ceiling_clean.wav,1
Hakuna Matata_clean.wav,2
Hey Jude [blank]_clean.wav,1
Highway to Hell (Official Video)_clean.wav,1
I Have Nothing (Official HD Video)_clean.wav,1
I Wanna Dance With Somebody (Official 4K Video)_clean.wav,3
I Will Always Love You (Official 4K Video)_clean.wav,8
Im Yours (4K Remaster)_clean.wav,2
Just the Way You Are_clean.wav,1
Let It Go_clean.wav,0
Like a Prayer_clean.wav,5
Louis Armstrong - What A Wonderful World (Lyrics)_clean.wav,0
Mamma Mia Video_clean.wav,4
Mrs Robinson (Audio)_clean.wav,4
Never Gonna Give You Up_clean.wav,5
Paint It Black Official Lyric Video_clean.wav,4
Perfect_clean.wav,2
Radioactive_clean.wav,4
Righteous Brothers - Unchained Melody (High Quality)_clean.wav,2
Save the last dance for me - The Drifters_clean.wav,4
Scream & Shout_clean.wav,4
Shape of You_clean.wav,1
Single Ladies (Put a Ring on It) (Video Version)_clean.wav,3
Smells Like Teen Spirit_clean.wav,1
Someone Like You (Official Music Video)_clean.wav,6
Song 2_clean.wav,1
Stay With Me_clean.wav,0
Still DRE_clean.wav,5
Sugar_clean.wav,4
Summer of 69_clean.wav,4
Sweet Child O Mine Version 2 Black And White_clean.wav,1
The Animals - Its My Life_clean.wav,7
The Beach Boys - Good Vibrations_clean.wav,2
Thinking out Loud_clean.wav,2
Thriller (Official 4K Video)_clean.wav,4
Viva la Vida_clean.wav,8
bad guy_clean.wav,8
imperial_full_clean.wav,6
FROZEN  Let It Go Sing-along  Official Disney UK_clean.wav,8
Hakuna Matata_clean.wav,2
Hedwigs Theme_clean.wav,0
Mamma Mia Video_clean.wav,4
Singin in the Rain (Full SongDance - 52) - Gene Kelly - Musical Romantic Comedies - 1950s Movies_clean.wav,0
The Imperial March (Darth Vaders Theme)_clean.wav,6
The Pink Panther Theme Music_clean.wav,1
This Is Me (Lyric Video)_clean.wav,4
